000_description		from es-en-2012-09-05.dic es-en-2012-09-05.dic on 2012-09-05 17:24:24
prostético		adj: prosthetic;
deicidio		m: deicide;
retoñar	retoñando	retoñado	retoña	retoñá	retoñad	retoño	retoñas	retoñás	retoña	retoñamos	retoñáis	retoñan	retoñe	retoñes	retoñés	retoñe	retoñemos	retoñéis	retoñen	retoñaba	retoñabas	retoñaba	retoñábamos	retoñabais	retoñaban	retoñara	retoñaras	retoñara	retoñáramos	retoñarais	retoñaran	retoñaré	retoñarás	retoñará	retoñaremos	retoñaréis	retoñarán	retoñaría	retoñarías	retoñaría	retoñaríamos	retoñaríais	retoñarían	retoñé	retoñaste	retoñastes	retoñó	retoñamos	retoñasteis	retoñaron	retoñase	retoñases	retoñase	retoñásemos	retoñaseis	retoñasen	retoñare	retoñares	retoñare	retoñáremos	retoñareis	retoñaren	v: to reappear; to sprout, bud;
Parangaricutirimícuaro		prop: tongue twister similar to supercalifragilisticexpialidocious;
impotente		adj: impotent, powerless, helpless; {medicine} impotent;
trotar	trotando	trotado	trota	trotá	trotad	troto	trotas	trotás	trota	trotamos	trotáis	trotan	trote	trotes	trotés	trote	trotemos	trotéis	troten	trotaba	trotabas	trotaba	trotábamos	trotabais	trotaban	trotara	trotaras	trotara	trotáramos	trotarais	trotaran	trotaré	trotarás	trotará	trotaremos	trotaréis	trotarán	trotaría	trotarías	trotaría	trotaríamos	trotaríais	trotarían	troté	trotaste	trotastes	trotó	trotamos	trotasteis	trotaron	trotase	trotases	trotase	trotásemos	trotaseis	trotasen	trotare	trotares	trotare	trotáremos	trotareis	trotaren	v: to trot;
accidentado		adj: jerky;
alqueno		m: {organic compound} alkene;
evitación		f: avoidance (act of avoiding);
igual		m: equals sign; mf: equal; adj: equal;
hermana		f: feminine form of hermano, sister;
hermano		m: brother; sibling;
secundariamente		adv: secondarily;
seis		: {cardinal} six;
herrete		m: aglet, aiglet; tag;
camuflajear	camuflajeando	camuflajeado	camuflajea	camuflajeá	camuflajead	camuflajeo	camuflajeas	camuflajeás	camuflajea	camuflajeamos	camuflajeáis	camuflajean	camuflajee	camuflajees	camuflajeés	camuflajee	camuflajeemos	camuflajeéis	camuflajeen	camuflajeaba	camuflajeabas	camuflajeaba	camuflajeábamos	camuflajeabais	camuflajeaban	camuflajeara	camuflajearas	camuflajeara	camuflajeáramos	camuflajearais	camuflajearan	camuflajearé	camuflajearás	camuflajeará	camuflajearemos	camuflajearéis	camuflajearán	camuflajearía	camuflajearías	camuflajearía	camuflajearíamos	camuflajearíais	camuflajearían	camuflajeé	camuflajeaste	camuflajeastes	camuflajeó	camuflajeamos	camuflajeasteis	camuflajearon	camuflajease	camuflajeases	camuflajease	camuflajeásemos	camuflajeaseis	camuflajeasen	camuflajeare	camuflajeares	camuflajeare	camuflajeáremos	camuflajeareis	camuflajearen	v: rare spelling of camuflar;
dictado		m: dictation;
compuesta		f: {botany} a composite; a flower or plant in the sunflower family, Compositae;
compuesto		adj: compound, composite; {mathematics} composite (non-prime);
consentimiento		m: consent;
isomaltosa		f: {carbohydrates} isomaltose;
agacharse		vr: reflexive form of agachar;
caramelo		m: candy; (more specifically) caramel;
fuera		adv: outside;
amorcito		m: diminutive form of amor;
